iter	Passed	Remaining
0	69	69249
1	73	36751
2	79	26263
3	84	20980
4	89	17721
5	94	15581
6	98	13979
7	103	12846
8	108	11919
9	112	11120
10	116	10491
11	121	9971
12	125	9550
13	130	9168
14	132	8722
15	136	8415
16	141	8159
17	145	7927
18	150	7747
19	154	7565
20	158	7400
21	162	7218
22	168	7166
23	174	7097
24	179	6983
25	183	6886
26	189	6813
27	194	6749
28	198	6656
29	202	6554
30	207	6488
31	211	6407
32	220	6454
33	225	6392
34	230	6351
35	233	6239
36	237	6190
37	242	6137
38	246	6071
39	251	6044
40	256	6000
41	261	5964
42	266	5922
43	271	5896
44	276	5865
45	280	5825
46	285	5797
47	290	5757
48	294	5714
49	298	5675
50	303	5644
51	308	5616
52	312	5575
53	316	5540
54	319	5485
55	323	5452
56	327	5423
57	331	5386
58	336	5373
59	341	5346
60	346	5335
61	352	5339
62	357	5323
63	364	5324
64	368	5299
65	373	5278
66	377	5257
67	381	5233
68	387	5227
69	392	5218
70	397	5205
71	401	5179
72	405	5150
73	410	5131
74	412	5085
75	414	5036
76	418	5018
77	420	4969
78	422	4922
79	426	4902
80	430	4887
81	434	4866
82	438	4840
83	440	4803
84	444	4780
85	448	4769
86	453	4758
87	457	4743
88	461	4725
89	465	4711
90	471	4705
91	475	4691
92	479	4671
93	481	4639
94	485	4620
95	488	4602
96	492	4584
97	497	4575
98	501	4561
99	505	4546
100	508	4529
101	512	4512
102	516	4495
103	519	4477
104	523	4464
105	527	4451
106	531	4438
107	535	4421
108	539	4409
109	543	4398
110	547	4385
111	551	4375
112	556	4365
113	559	4351
114	563	4339
115	567	4325
116	572	4317
117	577	4314
118	581	4307
119	586	4304
120	591	4294
121	595	4285
122	599	4274
123	603	4264
124	605	4241
125	608	4223
126	613	4214
127	616	4201
128	620	4192
129	624	4182
130	629	4177
131	633	4168
132	638	4162
133	642	4151
134	644	4129
135	648	4122
136	652	4112
137	656	4101
138	660	4093
139	664	4082
140	668	4073
141	670	4053
142	674	4041
143	678	4034
144	682	4024
145	686	4017
146	688	3995
147	692	3985
148	696	3976
149	700	3967
150	704	3960
151	708	3953
152	712	3946
153	716	3935
154	721	3935
155	726	3931
156	731	3927
157	736	3927
158	741	3922
159	747	3922
160	752	3918
161	756	3912
162	760	3906
163	765	3899
164	770	3897
165	775	3896
166	781	3897
167	786	3893
168	790	3885
169	795	3883
170	800	3880
171	805	3878
172	810	3876
173	815	3873
174	821	3872
175	824	3858
176	830	3859
177	834	3853
178	839	3851
179	845	3850
180	849	3845
181	854	3839
182	859	3836
183	864	3831
184	865	3814
185	870	3810
186	875	3805
187	879	3798
188	883	3792
189	887	3784
190	889	3767
191	893	3761
192	898	3755
193	902	3749
194	906	3742
195	910	3735
196	915	3731
197	920	3727
198	924	3719
199	928	3712
200	932	3705
201	936	3697
202	940	3692
203	944	3684
204	948	3677
205	952	3670
206	956	3664
207	960	3659
208	965	3652
209	969	3645
210	977	3653
211	981	3648
212	986	3646
213	991	3641
214	996	3638
215	1000	3632
216	1005	3627
217	1009	3622
218	1014	3617
219	1017	3608
220	1022	3602
221	1026	3597
222	1030	3590
223	1035	3588
224	1040	3583
225	1048	3589
226	1054	3590
227	1060	3590
228	1075	3622
229	1082	3623
230	1097	3653
231	1102	3648
232	1107	3644
233	1111	3639
234	1123	3658
235	1128	3652
236	1133	3649
237	1139	3646
238	1143	3639
239	1147	3634
240	1152	3630
241	1156	3621
242	1161	3617
243	1166	3615
244	1172	3612
245	1174	3599
246	1179	3594
247	1183	3589
248	1186	3579
249	1190	3571
250	1195	3566
251	1201	3567
252	1207	3565
253	1212	3560
254	1217	3556
255	1222	3553
256	1226	3546
257	1230	3540
258	1235	3534
259	1238	3525
260	1242	3519
261	1247	3512
262	1252	3509
263	1256	3503
264	1261	3498
265	1265	3492
266	1269	3485
267	1274	3481
268	1278	3475
269	1283	3469
270	1288	3465
271	1292	3460
272	1297	3454
273	1299	3444
274	1304	3438
275	1308	3432
276	1312	3426
277	1317	3421
278	1321	3416
279	1326	3410
280	1330	3403
281	1334	3398
282	1337	3389
283	1341	3381
284	1345	3374
285	1349	3367
286	1352	3360
287	1356	3354
288	1361	3348
289	1365	3343
290	1369	3337
291	1375	3334
292	1379	3329
293	1384	3324
294	1388	3317
295	1392	3311
296	1396	3305
297	1400	3298
298	1404	3292
299	1408	3286
300	1412	3279
301	1416	3273
302	1420	3267
303	1424	3261
304	1430	3258
305	1434	3252
306	1437	3245
307	1442	3240
308	1446	3235
309	1451	3229
310	1454	3222
311	1458	3217
312	1462	3210
313	1466	3203
314	1471	3200
315	1475	3194
316	1479	3187
317	1483	3181
318	1487	3176
319	1491	3169
320	1496	3164
321	1500	3159
322	1504	3154
323	1508	3147
324	1512	3141
325	1516	3136
326	1521	3130
327	1525	3124
328	1528	3117
329	1532	3111
330	1537	3107
331	1541	3101
332	1544	3094
333	1548	3087
334	1552	3081
335	1556	3075
336	1560	3069
337	1564	3063
338	1568	3058
